LocationAbbr,YearStart,Stratification1,High blood pressure,High cholesterol,Taking medicine for high cholesterol,Taking medicine to control high blood pressure,high_risk
AK,2019,"American Indian or Alaska Native, non-Hispanic",48.35,26.950000000000003,26.950000000000003,53.0,1
AK,2019,"Black, non-Hispanic",41.1,,,,1
AK,2019,Female,36.650000000000006,25.55,25.3,52.55,0
AK,2019,Male,45.75,28.5,28.35,49.349999999999994,1
AK,2019,"Multiracial, non-Hispanic",37.75,16.95,16.65,,1
AK,2019,Overall,41.4,27.1,26.9,50.8,0
AK,2019,"White, non-Hispanic",40.2,29.7,29.45,53.95,0
AK,2021,"American Indian or Alaska Native, non-Hispanic",45.2,31.75,31.549999999999997,57.5,1
AK,2021,"Asian, non-Hispanic",29.55,25.0,25.0,,0
AK,2021,"Black, non-Hispanic",51.65,37.0,37.0,,1
AK,2021,Female,35.65,30.3,30.1,63.7,0
AK,2021,Male,41.599999999999994,30.15,30.0,56.5,1
AK,2021,"Multiracial, non-Hispanic",38.55,30.65,30.35,46.95,1
AK,2021,Overall,38.8,30.2,30.0,59.599999999999994,0
AK,2021,"White, non-Hispanic",37.3,30.25,30.049999999999997,61.65,0
AL,2019,"American Indian or Alaska Native, non-Hispanic",52.75,30.35,30.35,,0
AL,2019,"Black, non-Hispanic",60.6,31.5,31.4,78.3,1
AL,2019,Female,49.4,34.7,34.6,78.2,1
AL,2019,Hispanic,17.3,35.85,35.85,,0
AL,2019,Male,53.349999999999994,34.2,33.9,71.6,1
AL,2019,Overall,51.3,34.5,34.3,74.65,1
AL,2019,"White, non-Hispanic",49.25,35.95,35.7,73.15,1
AL,2021,"Black, non-Hispanic",61.2,32.8,32.65,76.25,1
AL,2021,Female,50.0,35.2,35.0,80.35,1
AL,2021,Hispanic,23.3,27.85,26.8,,0
AL,2021,Male,52.75,38.65,38.400000000000006,72.0,1
AL,2021,Overall,51.35,36.95,36.7,76.0,1
AL,2021,"White, non-Hispanic",48.8,39.0,38.8,76.55,1
AR,2019,"American Indian or Alaska Native, non-Hispanic",54.2,51.7,51.7,,0
AR,2019,"Black, non-Hispanic",62.15,32.650000000000006,32.5,72.3,1
AR,2019,Female,46.9,34.75,34.35,73.4,1
AR,2019,Hispanic,33.4,20.95,20.6,,0
AR,2019,Male,52.25,34.95,34.55,68.85,1
AR,2019,Overall,49.55,34.849999999999994,34.45,71.15,1
AR,2019,"White, non-Hispanic",49.099999999999994,35.849999999999994,35.45,71.7,1
AR,2021,"American Indian or Alaska Native, non-Hispanic",37.3,,,,0
AR,2021,"Black, non-Hispanic",60.5,31.45,31.25,87.0,1
AR,2021,Female,46.2,31.95,31.65,79.15,1
AR,2021,Hispanic,38.8,28.75,28.75,,0
AR,2021,Male,51.85,37.349999999999994,37.05,67.5,1
AR,2021,Overall,48.95,34.5,34.2,72.8,1
AR,2021,"White, non-Hispanic",48.55,35.25,34.9,71.7,1
AZ,2019,"American Indian or Alaska Native, non-Hispanic",43.099999999999994,21.65,21.549999999999997,62.349999999999994,0
AZ,2019,"Asian, non-Hispanic",18.3,30.65,30.1,,0
AZ,2019,"Black, non-Hispanic",60.050000000000004,32.7,32.0,62.6,1
AZ,2019,Female,38.05,30.450000000000003,30.15,66.95,0
AZ,2019,Hispanic,35.75,28.65,28.15,55.45,0
AZ,2019,Male,42.55,32.8,32.4,59.699999999999996,1
AZ,2019,"Multiracial, non-Hispanic",40.9,37.85,37.7,60.3,1
AZ,2019,Overall,40.25,31.6,31.25,62.95,0
AZ,2019,"White, non-Hispanic",41.650000000000006,33.8,33.55,67.15,0
AZ,2021,"American Indian or Alaska Native, non-Hispanic",42.150000000000006,27.6,27.3,60.55,0
AZ,2021,"Asian, non-Hispanic",26.05,31.6,31.6,,0
AZ,2021,"Black, non-Hispanic",50.6,31.950000000000003,31.55,67.5,1
AZ,2021,Female,34.65,33.05,32.85,67.25,0
AZ,2021,Hispanic,35.95,30.6,30.4,64.5,0
AZ,2021,Male,41.55,32.85,32.6,63.7,1
AZ,2021,"Multiracial, non-Hispanic",39.7,22.35,22.299999999999997,47.4,1
AZ,2021,Overall,38.05,32.9,32.7,65.2,1
AZ,2021,"White, non-Hispanic",38.8,34.45,34.2,65.65,1
CA,2019,"American Indian or Alaska Native, non-Hispanic",29.200000000000003,16.95,16.95,,1
CA,2019,"Asian, non-Hispanic",31.650000000000002,27.700000000000003,27.55,64.7,0
CA,2019,"Black, non-Hispanic",46.3,24.2,24.1,60.5,1
CA,2019,Female,34.4,26.8,26.65,66.3,0
CA,2019,Hispanic,35.2,28.200000000000003,28.049999999999997,58.849999999999994,0
CA,2019,Male,37.25,30.950000000000003,30.75,56.45,1
CA,2019,"Multiracial, non-Hispanic",44.599999999999994,26.5,26.5,55.5,0
CA,2019,Overall,35.8,28.799999999999997,28.65,60.8,0
CA,2019,"White, non-Hispanic",37.45,30.4,30.200000000000003,60.5,1
CA,2021,"Asian, non-Hispanic",27.85,30.9,30.7,72.69999999999999,0
CA,2021,"Black, non-Hispanic",51.4,34.45,34.0,71.15,1
CA,2021,Female,35.400000000000006,31.900000000000002,31.7,72.35,0
CA,2021,Hispanic,33.85,31.200000000000003,31.05,56.75,0
CA,2021,Male,36.1,32.9,32.65,57.2,1
CA,2021,"Multiracial, non-Hispanic",43.099999999999994,34.95,34.95,60.4,0
CA,2021,Overall,35.8,32.45,32.15,64.05,1
